OPS-code;Text;Weitere_Texte_OPS;wann_gueltig;Mapping_moeglich;Kombiprodukt;Substanzangabe_aus_OPS-Code;Bemerkung_LOESCHEN;1Substanz_allg_engl_INN_oder_sonst;2Substanz_allg_engl_INN_oder_sonst;2Substanz_allg_UNII-number;2Substanz_allg_ASK-Nr;2Substanz_allg_CAS-Nummer;3Substanz_allg_engl_INN_oder_sonst;3Substanz_allg_UNII-number;3Substanz_allg_ASK-Nr;3Substanz_allg_CAS-Nummer;4Substanz_allg_engl_INN_oder_sonst;4Substanz_allg_UNII-number;4Substanz_allg_ASK-Nr;4Substanz_allg_CAS-Nummer;Substanzname_ATC;ATC-Code;ATC-Code2;ATC-Code3;ATC-Code4;ATC-Code5;Einheit_Wert_min;Einheit_Wert_max;UCUM-Code;UCUM-Description;Kommentar SZ;Routes and Methods of Administration - Concept Code;Routes and Methods of Administration - Term;Administration Method - ID;Administration Method - Name;Code Intended Site (EDQM);Intended Site (EDQM);2_Routes and Methods of Administration - Concept Code;2_Routes and Methods of Administration - Term;2_Administration Method - ID;2_Administration Method - Name;2_Code Intended Site (EDQM);2_Intended Site (EDQM);EU-Zulassung? ;Strenght;Pharmaceutical Form;Packaging;Handelsname-Beispiel (Invented name)
6-001.00;Parenterale Applikation von 30 mg bis unter 60 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;30;60;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.01;Parenterale Applikation von 60 mg bis unter 90 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;60;90;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.02;Parenterale Applikation von 90 mg bis unter 120 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;90;120;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.03;Parenterale Applikation von 120 mg bis unter 150 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;120;150;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.04;Parenterale Applikation von 150 mg bis unter 180 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;150;180;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.05;Parenterale Applikation von 180 mg bis unter 210 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;180;210;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.06;Parenterale Applikation von 210 mg bis unter 240 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;210;240;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.07;Parenterale Applikation von 240 mg bis unter 270 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;240;270;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.08;Parenterale Applikation von 270 mg bis unter 300 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;270;300;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.09;Parenterale Applikation von 300 mg bis unter 330 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;300;330;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
